ID,ProductType,Product,Region,Profile,MTC,LLF,ContractLength,StandingCharge,StandChgePeriod,CapacityCharge,MDCharge,Day/All/STOD OtherDayUnits,SecondaryPrice,Threshold,NightUnitPrice,Eve&Wkend/Control/STOD WinterPeak,STOD WinterWeekDay,ReactiveCharge,InvoiceValue,RetentionValue,AnnualConsumption,UnitRate1Desc,UnitRate1Price,UnitRate2Desc,UnitRate2Price,MinAQ,MaxAQ
,Gas,CNG Gas >219804 <=293071,SE,,0,0,One Year,0,,,,0.03883918,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,SO,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,SO,,0,0,One Year,0,,,,0.04573278,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,SO,,0,0,One Year,0,,,,0.04472366,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,SO,,0,0,One Year,0,,,,0.04070398,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,SO,,0,0,One Year,0,,,,0.04024142,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,SO,,0,0,One Year,0,,,,0.03989422,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,SO,,0,0,One Year,0,,,,0.03966014,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,SW,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,SW,,0,0,One Year,0,,,,0.0456835,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,SW,,0,0,One Year,0,,,,0.04467102,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,SW,,0,0,One Year,0,,,,0.04058526,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,SW,,0,0,One Year,0,,,,0.04013838,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,SW,,0,0,One Year,0,,,,0.03980238,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,SW,,0,0,One Year,0,,,,0.03958062,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,WM,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,WM,,0,0,One Year,0,,,,0.04419726,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,WM,,0,0,One Year,0,,,,0.04318366,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,WM,,0,0,One Year,0,,,,0.0404363,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,WM,,0,0,One Year,0,,,,0.04001966,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,WM,,0,0,One Year,0,,,,0.03970606,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,WM,,0,0,One Year,0,,,,0.03949662,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,WN,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,WN,,0,0,One Year,0,,,,0.0447315,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,WN,,0,0,One Year,0,,,,0.04372238,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,WN,,0,0,One Year,0,,,,0.04039038,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,WN,,0,0,One Year,0,,,,0.0399435,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,WN,,0,0,One Year,0,,,,0.0396075,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,WN,,0,0,One Year,0,,,,0.03938574,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,WS,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,WS,,0,0,One Year,0,,,,0.0440707,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,WS,,0,0,One Year,0,,,,0.04305822,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,WS,,0,0,One Year,0,,,,0.03998494,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,WS,,0,0,One Year,0,,,,0.03953806,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,WS,,0,0,One Year,0,,,,0.03920206,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,WS,,0,0,One Year,0,,,,0.0389803,,,,,,,,,0,,,,0,219804,293071
