EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
SW3,South West,0.21,3.505,2000,10000,48,13/03/2018,28/02/2019
WM1,West Midlands,0.2,3.323,2000,10000,48,13/03/2018,28/02/2019
WM2,West Midlands,0.2,3.323,2000,10000,48,13/03/2018,28/02/2019
WM3,West Midlands,0.2,3.323,2000,10000,48,13/03/2018,28/02/2019
WA1,Wales North,0.21,3.432,2000,10000,48,13/03/2018,28/02/2019
WA2,Wales South,0.21,3.36,2000,10000,48,13/03/2018,28/02/2019
EA1,East of England,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EA2,East of England,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EA3,East of England,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EA4,East of England,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EM1,East Midlands,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EM2,East Midlands,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EM3,East Midlands,0,3.19,10001,35000,12,13/03/2018,28/02/2019
EM4,East Midlands,0,3.19,10001,35000,12,13/03/2018,28/02/2019
NE1,North of England,0,3.268,10001,35000,12,13/03/2018,28/02/2019
NE2,North of England,0,3.268,10001,35000,12,13/03/2018,28/02/2019
NE3,North of England,0,3.268,10001,35000,12,13/03/2018,28/02/2019
NO1,North of England,0,3.268,10001,35000,12,13/03/2018,28/02/2019
NO2,North of England,0,3.268,10001,35000,12,13/03/2018,28/02/2019
NT1,London,0,3.307,10001,35000,12,13/03/2018,28/02/2019
NT2,London,0,3.307,10001,35000,12,13/03/2018,28/02/2019
NT3,London,0,3.307,10001,35000,12,13/03/2018,28/02/2019
NW1,North West,0,3.269,10001,35000,12,13/03/2018,28/02/2019
NW2,North West,0,3.269,10001,35000,12,13/03/2018,28/02/2019
SC1,Scotland,0,3.306,10001,35000,12,13/03/2018,28/02/2019
SC2,Scotland,0,3.306,10001,35000,12,13/03/2018,28/02/2019
SC4,Scotland,0,3.306,10001,35000,12,13/03/2018,28/02/2019
SE1,South of England,0,3.273,10001,35000,12,13/03/2018,28/02/2019
SE2,South of England,0,3.273,10001,35000,12,13/03/2018,28/02/2019
SO1,South of England,0,3.311,10001,35000,12,13/03/2018,28/02/2019
SO2,South of England,0,3.311,10001,35000,12,13/03/2018,28/02/2019
SW1,South West,0,3.365,10001,35000,12,13/03/2018,28/02/2019
SW2,South West,0,3.365,10001,35000,12,13/03/2018,28/02/2019
SW3,South West,0,3.365,10001,35000,12,13/03/2018,28/02/2019
WM1,West Midlands,0,3.231,10001,35000,12,13/03/2018,28/02/2019
WM2,West Midlands,0,3.231,10001,35000,12,13/03/2018,28/02/2019
WM3,West Midlands,0,3.231,10001,35000,12,13/03/2018,28/02/2019
WA1,Wales North,0,3.307,10001,35000,12,13/03/2018,28/02/2019
WA2,Wales South,0,3.23,10001,35000,12,13/03/2018,28/02/2019
EA1,East of England,0,2.955,35001,73268,12,13/03/2018,28/02/2019
EA2,East of England,0,2.955,35001,73268,12,13/03/2018,28/02/2019
EA3,East of England,0,2.955,35001,73268,12,13/03/2018,28/02/2019
EA4,East of England,0,2.955,35001,73268,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.97,35001,73268,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.97,35001,73268,12,13/03/2018,28/02/2019
EM3,East Midlands,0,2.97,35001,73268,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.97,35001,73268,12,13/03/2018,28/02/2019
NE1,North of England,0,3.037,35001,73268,12,13/03/2018,28/02/2019
NE2,North of England,0,3.037,35001,73268,12,13/03/2018,28/02/2019
NE3,North of England,0,3.037,35001,73268,12,13/03/2018,28/02/2019
NO1,North of England,0,3.037,35001,73268,12,13/03/2018,28/02/2019
NO2,North of England,0,3.037,35001,73268,12,13/03/2018,28/02/2019
NT1,London,0,3.074,35001,73268,12,13/03/2018,28/02/2019
NT2,London,0,3.074,35001,73268,12,13/03/2018,28/02/2019
NT3,London,0,3.074,35001,73268,12,13/03/2018,28/02/2019
NW1,North West,0,3.045,35001,73268,12,13/03/2018,28/02/2019
NW2,North West,0,3.045,35001,73268,12,13/03/2018,28/02/2019
SC1,Scotland,0,3.088,35001,73268,12,13/03/2018,28/02/2019
SC2,Scotland,0,3.088,35001,73268,12,13/03/2018,28/02/2019
SC4,Scotland,0,3.088,35001,73268,12,13/03/2018,28/02/2019
SE1,South of England,0,3.056,35001,73268,12,13/03/2018,28/02/2019
SE2,South of England,0,3.056,35001,73268,12,13/03/2018,28/02/2019
SO1,South of England,0,3.086,35001,73268,12,13/03/2018,28/02/2019
SO2,South of England,0,3.086,35001,73268,12,13/03/2018,28/02/2019
SW1,South West,0,3.147,35001,73268,12,13/03/2018,28/02/2019
SW2,South West,0,3.147,35001,73268,12,13/03/2018,28/02/2019
SW3,South West,0,3.147,35001,73268,12,13/03/2018,28/02/2019
WM1,West Midlands,0,3.002,35001,73268,12,13/03/2018,28/02/2019
WM2,West Midlands,0,3.002,35001,73268,12,13/03/2018,28/02/2019
WM3,West Midlands,0,3.002,35001,73268,12,13/03/2018,28/02/2019
WA1,Wales North,0,3.089,35001,73268,12,13/03/2018,28/02/2019
WA2,Wales South,0,3.009,35001,73268,12,13/03/2018,28/02/2019
EA1,East of England,0,2.597,73269,110000,12,13/03/2018,28/02/2019
EA2,East of England,0,2.597,73269,110000,12,13/03/2018,28/02/2019
EA3,East of England,0,2.597,73269,110000,12,13/03/2018,28/02/2019
EA4,East of England,0,2.597,73269,110000,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.609,73269,110000,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.609,73269,110000,12,13/03/2018,28/02/2019
