Product Name,MTC,Region,Profiles,Contract Length,Min,Max,Valid From,Valid To,Units (p/kWh),Day Units (p/kWh),Night Units (p/kWh),Eve/We Units (p/kWh),Weekday Units (p/kWh),Winter Eve Units (p/kWh)
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,20001,30000,07/10/2019,06/10/2022,14.3,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,30001,40000,07/10/2019,06/10/2022,14.21,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,40001,50000,07/10/2019,06/10/2022,14.11,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,50001,60000,07/10/2019,06/10/2022,14.08,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,60001,73200,07/10/2019,06/10/2022,14.05,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,73201,100000,07/10/2019,06/10/2022,14.03,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,100001,150000,07/10/2019,06/10/2022,14,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,150001,200000,07/10/2019,06/10/2022,13.98,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,200001,250000,07/10/2019,06/10/2022,13.97,,,,,
EELC P3 1R 36 months,279 500 501 717 801 802 873,10,3,36,250001,293000,07/10/2019,06/10/2022,13.97,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,5000,10000,07/10/2019,06/10/2023,16.15,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,10001,20000,07/10/2019,06/10/2023,15.02,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,20001,30000,07/10/2019,06/10/2023,14.56,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,30001,40000,07/10/2019,06/10/2023,14.46,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,40001,50000,07/10/2019,06/10/2023,14.36,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,50001,60000,07/10/2019,06/10/2023,14.33,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,60001,73200,07/10/2019,06/10/2023,14.31,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,73201,100000,07/10/2019,06/10/2023,14.28,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,100001,150000,07/10/2019,06/10/2023,14.25,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,150001,200000,07/10/2019,06/10/2023,14.23,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,200001,250000,07/10/2019,06/10/2023,14.22,,,,,
EELC P3 1R 48 months,279 500 501 717 801 802 873,10,3,48,250001,293000,07/10/2019,06/10/2023,14.22,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,5000,10000,07/10/2019,06/10/2024,16.49,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,10001,20000,07/10/2019,06/10/2024,15.35,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,20001,30000,07/10/2019,06/10/2024,14.88,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,30001,40000,07/10/2019,06/10/2024,14.79,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,40001,50000,07/10/2019,06/10/2024,14.69,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,50001,60000,07/10/2019,06/10/2024,14.66,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,60001,73200,07/10/2019,06/10/2024,14.63,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,73201,100000,07/10/2019,06/10/2024,14.6,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,100001,150000,07/10/2019,06/10/2024,14.57,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,150001,200000,07/10/2019,06/10/2024,14.55,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,200001,250000,07/10/2019,06/10/2024,14.54,,,,,
EELC P3 1R 60 months,279 500 501 717 801 802 873,10,3,60,250001,293000,07/10/2019,06/10/2024,14.54,,,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,5000,10000,07/10/2019,06/10/2020,,16,12.8,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,10001,20000,07/10/2019,06/10/2020,,14.9,11.7,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,20001,30000,07/10/2019,06/10/2020,,14.45,11.25,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,30001,40000,07/10/2019,06/10/2020,,14.36,11.16,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,40001,50000,07/10/2019,06/10/2020,,14.26,11.06,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,50001,60000,07/10/2019,06/10/2020,,14.23,11.03,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,60001,73200,07/10/2019,06/10/2020,,14.21,11.01,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,73201,100000,07/10/2019,06/10/2020,,14.18,10.98,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,100001,150000,07/10/2019,06/10/2020,,14.15,10.95,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,150001,200000,07/10/2019,06/10/2020,,14.14,10.94,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,200001,250000,07/10/2019,06/10/2020,,14.13,10.93,,,
EELC P3 2R (Day/Night) 12 months,205 656 657 660 661 807 808 809 811 812,10,3,12,250001,293000,07/10/2019,06/10/2020,,14.12,10.92,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,5000,10000,07/10/2019,06/10/2021,,16.33,12.93,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,10001,20000,07/10/2019,06/10/2021,,15.22,11.82,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,20001,30000,07/10/2019,06/10/2021,,14.76,11.36,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,30001,40000,07/10/2019,06/10/2021,,14.67,11.27,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,40001,50000,07/10/2019,06/10/2021,,14.58,11.18,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,50001,60000,07/10/2019,06/10/2021,,14.54,11.14,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,60001,73200,07/10/2019,06/10/2021,,14.52,11.12,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,73201,100000,07/10/2019,06/10/2021,,14.49,11.09,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,100001,150000,07/10/2019,06/10/2021,,14.47,11.07,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,150001,200000,07/10/2019,06/10/2021,,14.45,11.05,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,200001,250000,07/10/2019,06/10/2021,,14.44,11.04,,,
EELC P3 2R (Day/Night) 24 months,205 656 657 660 661 807 808 809 811 812,10,3,24,250001,293000,07/10/2019,06/10/2021,,14.43,11.03,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,5000,10000,07/10/2019,06/10/2022,,16.46,13.09,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,10001,20000,07/10/2019,06/10/2022,,15.34,11.97,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,20001,30000,07/10/2019,06/10/2022,,14.88,11.51,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,30001,40000,07/10/2019,06/10/2022,,14.79,11.42,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,40001,50000,07/10/2019,06/10/2022,,14.69,11.32,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,50001,60000,07/10/2019,06/10/2022,,14.66,11.29,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,60001,73200,07/10/2019,06/10/2022,,14.63,11.26,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,73201,100000,07/10/2019,06/10/2022,,14.61,11.24,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,100001,150000,07/10/2019,06/10/2022,,14.58,11.21,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,150001,200000,07/10/2019,06/10/2022,,14.56,11.19,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,200001,250000,07/10/2019,06/10/2022,,14.55,11.18,,,
EELC P3 2R (Day/Night) 36 months,205 656 657 660 661 807 808 809 811 812,10,3,36,250001,293000,07/10/2019,06/10/2022,,14.54,11.17,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,5000,10000,07/10/2019,06/10/2023,,16.73,13.27,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,10001,20000,07/10/2019,06/10/2023,,15.61,12.15,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,20001,30000,07/10/2019,06/10/2023,,15.14,11.68,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,30001,40000,07/10/2019,06/10/2023,,15.05,11.59,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,40001,50000,07/10/2019,06/10/2023,,14.95,11.49,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,50001,60000,07/10/2019,06/10/2023,,14.92,11.46,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,60001,73200,07/10/2019,06/10/2023,,14.89,11.43,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,73201,100000,07/10/2019,06/10/2023,,14.87,11.41,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,100001,150000,07/10/2019,06/10/2023,,14.84,11.38,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,150001,200000,07/10/2019,06/10/2023,,14.82,11.36,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,200001,250000,07/10/2019,06/10/2023,,14.81,11.35,,,
EELC P3 2R (Day/Night) 48 months,205 656 657 660 661 807 808 809 811 812,10,3,48,250001,293000,07/10/2019,06/10/2023,,14.8,11.34,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,5000,10000,07/10/2019,06/10/2024,,17.09,13.52,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,10001,20000,07/10/2019,06/10/2024,,15.95,12.38,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,20001,30000,07/10/2019,06/10/2024,,15.49,11.92,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,30001,40000,07/10/2019,06/10/2024,,15.4,11.83,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,40001,50000,07/10/2019,06/10/2024,,15.3,11.73,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,50001,60000,07/10/2019,06/10/2024,,15.26,11.69,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,60001,73200,07/10/2019,06/10/2024,,15.24,11.67,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,73201,100000,07/10/2019,06/10/2024,,15.21,11.64,,,
